                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82915,                 2.6191,                 1.0607,                0.20821,                0.43178,                0.17811,                0.13627,                0.94845,                 2.5307,                 1.1227,               0.067168,             0.00033163,             0.00033163
                      2,                0.77733,                 1.9706,                 1.0258,                0.25255,                 0.4745,                0.29613,                0.22461,                0.81849,                 1.8379,                 1.0479,               0.034146,             0.00064302,             0.00064302
                      3,                0.73363,                 1.7648,                 1.0064,                0.26523,                0.47099,                 0.3642,                0.28918,                0.70357,                 1.7809,                0.97779,              0.0011025,             0.00093241,             0.00093241
                      4,                0.71456,                 1.6275,                  1.006,                0.46625,                0.45695,                0.42763,                 0.3201,                0.76324,                 1.8954,                0.98799,               0.000901,               0.000901,               0.000901
                      5,                0.69934,                  1.508,                0.99182,                0.43297,                 0.5009,                0.41882,                0.33978,                0.68601,                 1.9066,                0.95603,               0.000901,               0.000901,               0.000901
                      6,                0.68008,                 1.4263,                0.98654,                0.63829,                0.65334,                0.65473,                0.54919,                0.67827,                 1.0749,                0.94401,               0.000868,               0.000868,               0.000868
                      7,                0.67689,                 1.2746,                0.98508,                0.65116,                0.67365,                0.68798,                0.56473,                0.70039,                 1.0738,                0.95295,               0.000835,               0.000835,               0.000835
                      8,                0.65455,                 1.2029,                0.97608,                0.79052,                 0.6386,                0.74767,                 0.6243,                0.65672,                0.90611,                0.92285,               0.000802,               0.000802,               0.000802
                      9,                0.66002,                 1.1428,                0.98048,                0.67921,                0.70561,                0.77332,                0.65901,                0.61933,                0.85311,                0.91568,               0.000769,               0.000769,               0.000769
                     10,                0.64768,                  1.076,                0.97458,                0.81815,                0.74168,                0.82559,                0.69939,                0.62957,                0.74725,                0.92106,               0.000736,               0.000736,               0.000736
                     11,                0.63215,                  1.046,                0.96346,                0.75705,                0.71637,                0.77971,                0.66578,                0.62037,                0.85283,                0.91365,               0.000703,               0.000703,               0.000703
                     12,                0.60923,                0.99296,                0.95734,                0.87895,                0.79102,                0.87564,                0.74356,                0.60531,                0.63902,                0.90894,                0.00067,                0.00067,                0.00067
                     13,                 0.6108,                0.93971,                0.96146,                0.85082,                0.80783,                0.87723,                0.74821,                0.61371,                0.63585,                 0.9097,               0.000637,               0.000637,               0.000637
                     14,                0.60566,                0.91325,                0.95444,                0.89826,                0.81202,                  0.901,                 0.7776,                0.59418,                0.58129,                0.90513,               0.000604,               0.000604,               0.000604
                     15,                0.59223,                0.87776,                0.95139,                0.90211,                0.82298,                0.90104,                0.76759,                0.58746,                0.57749,                0.89936,               0.000571,               0.000571,               0.000571
                     16,                0.59685,                0.85102,                0.95249,                0.94095,                0.83759,                0.90939,                 0.7777,                0.59104,                0.50993,                0.90393,               0.000538,               0.000538,               0.000538
                     17,                 0.5788,                0.82882,                0.94585,                0.91441,                0.82988,                0.91212,                0.78682,                0.57593,                0.49833,                0.89341,               0.000505,               0.000505,               0.000505
                     18,                0.57732,                0.80232,                0.94079,                0.92549,                 0.8651,                 0.9261,                0.79133,                0.59281,                0.49644,                0.90039,               0.000505,               0.000505,               0.000505
                     19,                0.58059,                0.79511,                0.94694,                0.93598,                0.83864,                0.92517,                0.79785,                0.58101,                0.46898,                0.89643,               0.000439,               0.000439,               0.000439
                     20,                 0.5565,                0.75479,                0.93409,                0.93579,                0.84307,                0.91751,                0.78763,                0.58089,                0.46999,                0.89485,               0.000406,               0.000406,               0.000406
                     21,                0.54006,                0.48225,                0.89727,                 0.9078,                0.85581,                0.92013,                0.78675,                0.58817,                0.48308,                0.89842,               0.000373,               0.000373,               0.000373
                     22,                0.53338,                0.46303,                0.89316,                0.92803,                0.85014,                0.92359,                0.79202,                0.57297,                0.48007,                0.89537,               0.000373,               0.000373,               0.000373
                     23,                0.52387,                0.45541,                0.88886,                0.94262,                0.83818,                0.91679,                0.78908,                0.57843,                0.44808,                0.89027,               0.000307,               0.000307,               0.000307
                     24,                0.51398,                 0.4221,                0.88903,                0.93231,                0.87718,                0.93099,                0.80415,                0.56771,                0.42251,                0.88596,               0.000274,               0.000274,               0.000274
                     25,                0.51116,                0.40707,                 0.8784,                0.92234,                0.88018,                0.93323,                0.80639,                0.57312,                0.41526,                0.88828,               0.000241,               0.000241,               0.000241
                     26,                0.49844,                0.39074,                0.88104,                0.94729,                0.86645,                0.93361,                0.81695,                0.55004,                0.39963,                0.88494,               0.000208,               0.000208,               0.000208
                     27,                0.49345,                0.37116,                0.87519,                0.93748,                 0.9034,                0.94609,                0.82244,                0.55027,                0.37816,                0.88347,               0.000175,               0.000175,               0.000175
                     28,                0.48805,                0.36128,                0.87023,                0.95333,                0.89397,                0.94409,                0.82612,                0.54649,                0.35832,                0.88012,               0.000142,               0.000142,               0.000142
                     29,                0.48281,                0.35207,                0.87504,                0.94569,                0.88932,                0.94132,                0.82602,                 0.5422,                0.36469,                0.87749,               0.000109,               0.000109,               0.000109
                     30,                 0.4751,                 0.3403,                0.86595,                0.96709,                0.88758,                0.94636,                 0.8347,                0.52923,                0.34899,                0.87169,                7.6e-05,                7.6e-05,                7.6e-05
