                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82267,                 3.0351,                 1.0887,                0.21227,                0.53075,                0.25298,                0.20113,                0.72322,                 2.2975,                0.97416,             0.00018486,             0.00018486,             0.00018486
                      2,                0.75018,                 2.2349,                 1.0425,                0.38769,                0.45903,                0.37813,                0.30206,                0.71342,                 1.9114,                0.96226,             0.00035798,             0.00035798,             0.00035798
                      3,                0.72592,                 1.9981,                 1.0161,                0.38137,                0.57541,                0.46796,                0.37915,                0.72542,                 1.7928,                0.97708,             0.00051886,             0.00051886,             0.00051886
                      4,                0.72022,                 1.7868,                 1.0104,                0.55685,                0.60387,                0.57161,                0.48135,                0.67768,                 1.4943,                0.94923,             0.00050096,             0.00050096,             0.00050096
                      5,                0.68819,                 1.5841,                0.99794,                 0.7361,                0.61287,                0.69751,                0.58209,                0.66294,                 1.1742,                0.93988,             0.00050096,             0.00050096,             0.00050096
                      6,                0.67042,                  1.419,                0.98564,                0.68575,                0.68401,                0.75543,                0.63417,                0.64713,                 1.0532,                0.92677,             0.00048261,             0.00048261,             0.00048261
                      7,                0.64569,                 1.2736,                0.97952,                0.72487,                0.73992,                0.78697,                0.66868,                0.63743,                0.89808,                 0.9159,             0.00046426,             0.00046426,             0.00046426
                      8,                0.63769,                 1.2048,                0.97512,                0.87354,                0.70974,                0.82965,                0.71144,                0.61089,                0.85803,                0.90638,             0.00044591,             0.00044591,             0.00044591
                      9,                0.62364,                 1.1299,                0.96726,                0.85891,                0.78195,                0.86577,                0.73198,                0.62382,                0.74252,                0.91251,             0.00042756,             0.00042756,             0.00042756
                     10,                0.62567,                 1.0479,                0.96521,                 0.8893,                0.77927,                0.87052,                0.74694,                0.60805,                0.69646,                0.90008,             0.00040922,             0.00040922,             0.00040922
                     11,                0.61435,                0.99164,                0.96204,                0.85962,                0.82366,                0.88259,                0.75383,                0.61593,                0.63101,                0.90787,             0.00039087,             0.00039087,             0.00039087
                     12,                0.60163,                 0.9706,                0.95832,                0.90726,                0.81804,                 0.9037,                0.77933,                 0.5913,                0.59989,                0.89413,             0.00037252,             0.00037252,             0.00037252
                     13,                0.58905,                0.91382,                0.95049,                0.89627,                0.83828,                0.90743,                0.77209,                0.60346,                0.55528,                0.89758,             0.00035417,             0.00035417,             0.00035417
                     14,                0.58934,                0.88461,                0.94895,                0.92366,                 0.8561,                0.91968,                0.79176,                0.58412,                0.52939,                0.89281,             0.00033582,             0.00033582,             0.00033582
                     15,                0.57332,                0.85061,                0.94518,                 0.9001,                0.88293,                0.92849,                0.79654,                0.58934,                0.51504,                0.89449,             0.00031748,             0.00031748,             0.00031748
                     16,                 0.5861,                0.83275,                0.94981,                0.93142,                0.87502,                0.92406,                0.79496,                0.59057,                0.50351,                0.89391,             0.00029913,             0.00029913,             0.00029913
                     17,                0.57199,                0.79984,                0.94484,                0.94514,                0.87607,                0.93462,                0.80565,                0.57216,                0.48944,                0.88709,             0.00028078,             0.00028078,             0.00028078
                     18,                0.57199,                0.79629,                0.94333,                0.94753,                0.86796,                0.92863,                0.80393,                0.57365,                0.47006,                0.88661,             0.00026243,             0.00026243,             0.00026243
                     19,                0.55454,                 0.7647,                0.93766,                0.93245,                0.87667,                0.92902,                0.80842,                0.57439,                0.46501,                0.88358,             0.00024408,             0.00024408,             0.00024408
                     20,                 0.5562,                0.74696,                0.93744,                0.93753,                0.88344,                0.93671,                0.81366,                0.56964,                 0.4482,                0.88182,             0.00022574,             0.00022574,             0.00022574
                     21,                0.52498,                0.49615,                0.89029,                0.92019,                0.88564,                0.93715,                0.80808,                 0.5763,                0.46347,                0.88687,             0.00020739,             0.00020739,             0.00020739
                     22,                0.51941,                0.48059,                0.88254,                0.94134,                0.89115,                0.93898,                0.81196,                0.56916,                0.42784,                0.88165,             0.00018904,             0.00018904,             0.00018904
                     23,                 0.5175,                0.46601,                0.88685,                0.96225,                 0.8718,                0.93984,                 0.8158,                0.56671,                0.44033,                0.87792,             0.00017069,             0.00017069,             0.00017069
                     24,                0.51316,                0.44392,                 0.8809,                0.93851,                0.89135,                0.94017,                0.81949,                0.56011,                0.42006,                0.87731,             0.00015234,             0.00015234,             0.00015234
                     25,                0.50423,                0.41637,                 0.8772,                0.95601,                0.89007,                0.94626,                0.82477,                 0.5507,                0.40407,                0.87248,               0.000134,               0.000134,               0.000134
                     26,                0.49285,                0.40765,                0.87565,                0.95907,                0.89131,                0.94707,                0.82437,                0.55473,                0.39299,                0.87647,             0.00011565,             0.00011565,             0.00011565
                     27,                0.48439,                 0.3881,                0.87635,                0.94972,                0.90275,                0.94961,                0.82826,                0.54872,                 0.3856,                0.87478,               9.73e-05,               9.73e-05,               9.73e-05
                     28,                0.48628,                0.37836,                0.87277,                0.96327,                0.89213,                0.95213,                0.83073,                 0.5482,                0.37012,                0.87576,             7.8952e-05,             7.8952e-05,             7.8952e-05
                     29,                0.47258,                0.36711,                 0.8678,                0.96683,                0.89174,                0.95206,                0.83061,                0.54609,                0.37128,                0.87289,             6.0604e-05,             6.0604e-05,             6.0604e-05
                     30,                0.47385,                0.36025,                0.86862,                0.96623,                  0.899,                0.95137,                0.83156,                0.54111,                0.35961,                0.87071,             4.2256e-05,             4.2256e-05,             4.2256e-05
